::1 - - [14/Jul/2022:09:59:27 +0000] "GET /mysqladmin/ HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
::ffff:127.0.0.1 - - [14/Jul/2022:09:59:33 +0000] "GET /db/ HTTP/1.0" 404 142 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
::1 - - [14/Jul/2022:09:59:39 +0000] "GET /database/ HTTP/1.0" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
::ffff:127.0.0.1 - - [14/Jul/2022:09:59:42 +0000] "GET /adminer.php HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
::1 - - [14/Jul/2022:09:59:44 +0000] "GET /sql.php HTTP/1.0" 404 146 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
::1 - - [14/Jul/2022:10:01:49 +0000] "GET /dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB HTTP/1.0" 404 148 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [14/Jul/2022:10:01:50 +0000] "GET /dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB HTTP/1.0" 404 148 "-" "Go-http-client/1.1"
::1 - - [14/Jul/2022:10:01:50 +0000] "POST /dns-query HTTP/1.0" 404 149 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [14/Jul/2022:10:01:51 +0000] "POST /dns-query HTTP/1.0" 404 149 "-" "Go-http-client/1.1"
::1 - - [14/Jul/2022:10:01:51 +0000] "GET /query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB HTTP/1.0" 404 144 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [14/Jul/2022:10:01:52 +0000] "GET /query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB HTTP/1.0" 404 144 "-" "Go-http-client/1.1"
::1 - - [14/Jul/2022:10:01:52 +0000] "POST /query HTTP/1.0" 404 145 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [14/Jul/2022:10:01:52 +0000] "POST /query HTTP/1.0" 404 145 "-" "Go-http-client/1.1"
::1 - - [14/Jul/2022:10:01:53 +0000] "GET /resolve?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB HTTP/1.0" 404 146 "-" "Go-http-client/1.1"
